id,module,use_case,prompt_title,prompt_text,expected_output_format,difficulty,customization_notes
P106,M1_Foundations,study,"Few-Shot with Edge Cases","I want you to generate flashcards from my study notes. Here is the format I want: Front: [Question] | Back: [Answer â€” max 2 sentences]. Here are 3 examples: Front: What is polymorphism? | Back: Polymorphism lets objects of different classes respond to the same method call. It enables code reuse through method overriding and overloading. Front: What is the difference between stack and heap? | Back: Stack stores local variables and function calls with LIFO order. Heap stores dynamically allocated memory that persists until freed. Front: What is Big O notation? | Back: Big O describes the upper bound of an algorithm's time or space complexity. It tells you how performance scales as input size grows. Now generate 10 flashcards from these notes: [PASTE YOUR NOTES HERE]",flashcards,easy,"Replace the example flashcards with ones from your subject. Paste your actual notes where indicated."
P107,M1_Foundations,study,"Clarifying Questions Chain","Before answering my question, ask me exactly 5 clarifying questions that will help you give me the best possible answer. Number each question. After I answer all 5, then provide your response. My question is: Help me prepare for my campus placement interviews. Do not answer yet â€” just ask the 5 questions first.",questions then answer,easy,"Replace the main question with any topic where you need tailored advice."
P108,M1_Foundations,coding,"Ambiguity Audit Prompt","I wrote this prompt but the AI keeps giving me bad output. Analyze my prompt below and identify every source of ambiguity. For each ambiguity found, explain: 1. What is ambiguous, 2. Why it causes bad output, 3. How to fix it with a specific rewrite. Then rewrite the full prompt with all ambiguities removed. My prompt: ""Write me some code for a website that shows data and looks nice.""",analysis + rewrite,medium,"Replace the example bad prompt with your own underperforming prompt."
P109,M1_Foundations,coding,"Prompt Chaining Basics","I need to build a simple REST API for a to-do app. Instead of doing everything at once, break this into a chain of 5 sequential prompts. For each prompt in the chain: 1. Write the exact prompt I should paste into ChatGPT. 2. Explain what output I should expect. 3. Explain what to carry forward to the next prompt. Number them Prompt 1 through Prompt 5. Make each prompt self-contained so I can copy-paste it directly.",prompt chain,medium,"Replace to-do app with your project. Adjust the number of chained prompts."
P110,M1_Foundations,study,"Meta-Prompt Generator","You are a prompt engineering expert. I will give you a task, and you will generate the best possible prompt I can use in ChatGPT to accomplish that task. Your generated prompt should use the GCCF framework (Goal, Context, Constraints, Format). Include placeholders in [BRACKETS] for parts I need to customize. My task: I want to study any topic efficiently by getting a structured explanation, practice questions, and common mistakes to avoid. Generate the ideal prompt for this.",prompt template,medium,"Change the task description to generate prompts for any use case you need."
P111,M2_Output_Control,research,"Nested Table Generation","Create a comparison table of 5 popular machine learning algorithms. The table must have these exact columns: Algorithm Name, Type (Supervised/Unsupervised), Best For, Pros (list 2), Cons (list 2), Time Complexity. Use bullet points inside the Pros and Cons cells. Add a footer row that says ""Source: Standard ML textbook classifications."" No text before or after the table.",table,medium,"Change the topic from ML algorithms to any set of items you need to compare."
P112,M2_Output_Control,coding,"JSON with Nested Objects","Convert the following project description into a structured JSON object. The JSON must have these exact keys: project_name (string), tech_stack (array of strings), features (array of objects with keys: name, description, priority), team_size (number), timeline (object with keys: start_date, end_date, milestones). Project: I am building a campus event management app using React and Node.js. It has user registration, event creation, RSVP tracking, and push notifications. Team of 4. Starting June 2025, ending December 2025, with milestones at MVP, beta, and launch. Output only valid JSON. No explanation.",JSON,medium,"Replace with your own project description. Add or remove JSON keys as needed."
P113,M2_Output_Control,research,"Markdown Report Formatter","Generate a research summary on the topic of ""Edge Computing vs Cloud Computing"" formatted exactly as follows: # Title, ## Executive Summary (3 sentences max), ## Key Findings (5 bullet points), ## Comparison Table (3 columns: Aspect, Edge Computing, Cloud Computing â€” 5 rows), ## Conclusion (2 sentences), ## References (list 3 real or plausible sources in APA format). Follow this structure exactly. Do not add any extra sections.",markdown report,medium,"Replace the topic. Adjust section requirements to match your report format."
P114,M2_Output_Control,coding,"Side-by-Side Comparison Output","Compare React and Angular for building a single-page application. Structure your response as exactly two columns. Left column header: React. Right column header: Angular. Row topics (in this exact order): 1. Learning Curve, 2. Performance, 3. State Management, 4. Community Support, 5. Best For. Each cell must be exactly 2 sentences. End with a one-line verdict stating which is better for a beginner. No introductory text.",comparison table,easy,"Replace React/Angular with any two technologies or concepts to compare."
P115,M2_Output_Control,research,"Strict Mode with Zero Extras","Answer the following question. Rules: 1. Output ONLY the answer. 2. No introductory phrases like ""Sure!"" or ""Great question!"" 3. No concluding phrases like ""Let me know if you need more help."" 4. No bullet points or lists. 5. One single paragraph, exactly 3 sentences. Question: What is the CAP theorem in distributed systems?",paragraph,easy,"Replace the question with any factual question. Adjust the sentence count."
P116,M2_Output_Control,coding,"Multi-Format Single Query","Explain the concept of recursion in programming in exactly 3 different formats. Format 1: A 2-sentence definition suitable for a flashcard. Format 2: A step-by-step trace of factorial(4) showing each recursive call and return value in a numbered list. Format 3: A Python code block implementing factorial with comments on every line. Label each format clearly as Format 1, Format 2, Format 3. No extra text between formats.",multi-format,medium,"Replace recursion with any programming concept. Adjust the 3 format types."
P117,M2_Output_Control,research,"Conditional Output Rules","I will give you a list of startup ideas. For each idea, evaluate it and respond using these conditional rules: If the idea is technically feasible for a solo developer, label it [SOLO-OK] and give 1 sentence of advice. If it requires a team of 3+, label it [TEAM-NEEDED] and explain which roles are needed. If it is not feasible with current technology, label it [NOT-FEASIBLE] and explain why in 1 sentence. Ideas: 1. AI-powered personal tutor app 2. Real-time language translation glasses 3. Budget tracking Telegram bot 4. Brain-computer interface for gaming 5. Automated resume screener for HR",labeled analysis,medium,"Replace startup ideas with anything you need conditionally categorized."
P118,M2_Output_Control,coding,"Template Engine Prompt","Create a reusable email template for requesting a professor for a letter of recommendation. The template must use [PLACEHOLDER] syntax for customizable parts. Include at least 6 placeholders: [YOUR_NAME], [PROFESSOR_NAME], [COURSE_NAME], [SEMESTER], [TARGET_PROGRAM], [DEADLINE]. The email should be professional, concise (under 150 words), and have: Subject line, Greeting, Body (3 short paragraphs), Sign-off. Output only the template. No instructions or explanation.",email template,easy,"Change the email purpose. Add or remove placeholders as needed."
P119,M2_Output_Control,research,"CSV Data Transformation","I have the following raw data about Indian cities. Convert it into a clean CSV format with these exact column headers: City, State, Population_Millions, Known_For, Tech_Hub (Yes/No). Data: Mumbai is in Maharashtra with about 20 million people, known for Bollywood and finance, and is a major tech hub. Bangalore is in Karnataka with about 12 million people, known for IT industry, and is the biggest tech hub. Jaipur is in Rajasthan with about 3 million people, known for tourism and handicrafts, and is not really a tech hub. Chennai is in Tamil Nadu with about 10 million people, known for auto industry and IT, and is a growing tech hub. Output only the CSV. No explanation. No markdown formatting â€” raw CSV only.",CSV,easy,"Replace with your own raw data. Adjust column headers to match your needs."
P120,M2_Output_Control,coding,"Layered Output Structure","Explain how HTTPS works. Structure your answer in exactly 3 layers of depth: Layer 1 â€” ELI5 (Explain Like I'm 5): 2 sentences max, use an analogy. Layer 2 â€” Student Level: 1 paragraph (5 sentences) covering the key technical steps. Layer 3 â€” Interview Ready: A detailed explanation covering TLS handshake, certificate verification, symmetric vs asymmetric encryption, with proper technical terms. Label each layer clearly. No text outside the three layers.",layered explanation,medium,"Replace HTTPS with any technical concept. Adjust the number of layers or depth levels."
P121,M3_Debugging_Refinement,coding,"Prompt Failure Diagnosis","I used this prompt but got a terrible output. Diagnose exactly what went wrong using the 5 common failure types: 1. Too Vague, 2. Missing Context, 3. No Format Specified, 4. Conflicting Constraints, 5. Wrong Persona. For each failure type, mark it [FOUND] or [NOT FOUND]. For every [FOUND] failure, quote the exact part of my prompt that caused it and write a fix. Then rewrite the complete fixed prompt. My prompt: ""Make me a good resume.""",diagnosis + rewrite,easy,"Replace with any prompt that gave you bad output."
P122,M3_Debugging_Refinement,study,"Deep 3R Loop Practice","I want to practice the 3R Loop (Request, Review, Refine). Simulate a 3-round 3R loop for this task: ""Get AI to explain the concept of deadlocks in operating systems for exam prep."" Round 1 â€” Request: Write a basic first-attempt prompt. Then show the likely output problems. Round 2 â€” Review: List what went wrong. Refine: Write an improved prompt. Show better output. Round 3 â€” Review: List remaining issues. Refine: Write the final polished prompt and show the ideal output. Label each round clearly.",3R simulation,medium,"Replace deadlocks with any concept. Use this to practice refining prompts."
P123,M3_Debugging_Refinement,coding,"Self-Critique Chain","Write a Python function to check if a string is a valid palindrome (ignoring spaces and case). After writing the code, immediately critique your own output by answering: 1. Does it handle edge cases (empty string, single character, special characters)? 2. Is the time complexity optimal? 3. Is the code readable and well-named? 4. Are there any bugs? For each issue found, fix it and show the improved version. Show your self-critique as a numbered checklist with [PASS] or [FAIL] for each item.",code + critique,medium,"Replace the coding task. Keep the self-critique checklist format."
P124,M3_Debugging_Refinement,study,"A/B Prompt Comparison","I will give you two versions of a prompt that try to accomplish the same task. Compare them side by side. For each prompt, rate these dimensions on a scale of 1-5: Clarity, Specificity, Format Instructions, Context Provided, Likely Output Quality. Present as a comparison table. Then declare a winner with 2 sentences explaining why. Prompt A: ""Explain sorting algorithms."" Prompt B: ""Goal: Compare 3 sorting algorithms (bubble, merge, quick). Context: I am a first-year student who knows basic arrays. Constraints: Max 200 words. Format: Table with columns: Name, How It Works (1 sentence), Time Complexity, When to Use.""",comparison table + verdict,easy,"Replace Prompt A and B with your own prompts to compare."
P125,M3_Debugging_Refinement,coding,"Template Stress Testing","Here is a prompt template I built: ""Explain [TOPIC] for a [LEVEL] student in [FORMAT] using max [WORD_COUNT] words."" Test this template with 3 very different inputs: Test 1: TOPIC=quantum computing, LEVEL=high school, FORMAT=analogy, WORD_COUNT=100. Test 2: TOPIC=database indexing, LEVEL=graduate, FORMAT=technical explanation, WORD_COUNT=200. Test 3: TOPIC=cooking pasta, LEVEL=beginner, FORMAT=numbered steps, WORD_COUNT=50. For each test, fill in the template, generate the output, and rate whether the template held up (Good/Okay/Broken). Summarize which parts of the template need improvement.",template test report,medium,"Replace with your own template. Create 3 test inputs that push its limits."
P126,M3_Debugging_Refinement,coding,"Edge Case Discovery Prompt","I am writing a function to convert temperature from Celsius to Fahrenheit. Before I write the code, help me discover all possible edge cases. List every edge case you can think of, grouped into categories: 1. Input Type Issues, 2. Boundary Values, 3. Special Values, 4. Format Issues. For each edge case, describe it in one sentence and show the expected behavior. Give me at least 10 edge cases total. Then write the Python function that handles all of them.",edge case list + code,medium,"Replace the function with any coding task. Keep the categorized edge case format."
P127,M3_Debugging_Refinement,study,"Output Validation Checklist","You are a strict output quality reviewer. I will give you an AI-generated output. Check it against this 7-point validation checklist: 1. Accuracy â€” Are all facts correct? 2. Completeness â€” Does it answer the full question? 3. Format Compliance â€” Does it match the requested format? 4. Length Compliance â€” Is it within the word/sentence limit? 5. Relevance â€” Is everything relevant, no filler? 6. Consistency â€” No contradictions within the output? 7. Actionability â€” Can the user directly use this output? For each item, mark [PASS] or [FAIL] with a one-sentence reason. Give an overall score out of 7. Output to validate: [PASTE AI OUTPUT HERE]",validation checklist,easy,"Paste any AI output you want to quality-check. Adjust checklist items as needed."
P128,M3_Debugging_Refinement,coding,"Progressive Refinement Prompt","I want to build a responsive navigation bar in HTML and CSS. Start with the simplest possible version (Version 1 â€” just a horizontal list of links). Then progressively improve it through 4 versions: Version 1: Basic horizontal nav. Version 2: Add hover effects and active state styling. Version 3: Make it responsive with a hamburger menu for mobile. Version 4: Add a dropdown submenu for one of the links. Show complete code for each version. Explain what changed between each version in one sentence.",progressive code,medium,"Replace the component. Keep the 4-version progressive improvement format."
P129,M3_Debugging_Refinement,study,"Prompt Autopsy","I sent this prompt to ChatGPT and got a completely useless answer. Perform a full autopsy. Step 1 â€” Quote the prompt. Step 2 â€” List every problem (minimum 3). Step 3 â€” For each problem, explain why it caused bad output. Step 4 â€” Write the fixed version of the prompt. Step 5 â€” Predict what the improved output would look like in 2-3 sentences. The failed prompt: ""Tell me everything about data structures and give me code and examples and make it short but detailed and also compare them.""",autopsy report,medium,"Replace with any prompt that gave you poor results."
P130,M3_Debugging_Refinement,coding,"Reusable Debug Template","Create a reusable debugging prompt template I can use every time my code has a bug. The template should have these sections with [PLACEHOLDERS]: 1. Bug Description: [WHAT_HAPPENED] vs [WHAT_I_EXPECTED]. 2. Code: [PASTE_CODE_HERE]. 3. Language and version: [LANGUAGE]. 4. Error message (if any): [ERROR_MSG]. 5. What I already tried: [ATTEMPTS]. 6. Environment: [OS_AND_TOOLS]. Instructions to AI should say: First reproduce the bug mentally, then explain the root cause, then show the fix with before/after code, then explain how to prevent this bug in the future.",template,easy,"Use this template every time you need to debug code with AI."
P131,M4_Truthfulness_Reliability,research,"Source-Grounded Summary","I will paste a text below. Summarize it in exactly 5 bullet points. Rules: 1. Every bullet point must be directly supported by the text â€” no outside knowledge. 2. After each bullet point, add [Source: paragraph X] indicating which paragraph the information came from. 3. Do not add any information that is not in the text. 4. If the text does not cover a subtopic I ask about, write ""Not covered in provided text."" 5. Do not use phrases like ""The text discusses..."" â€” just state the facts directly. Text: [PASTE YOUR TEXT HERE]",sourced bullet points,easy,"Paste any article or document. This forces AI to stay grounded in your text."
P132,M4_Truthfulness_Reliability,study,"Hallucination Trap Detection","I will give you a paragraph that may contain hallucinated (made-up) information. Your job is to analyze every factual claim in the paragraph. For each claim: 1. Extract the claim as a quote. 2. Rate your confidence: [HIGH] if you are very sure it is correct, [MEDIUM] if somewhat sure, [LOW] if uncertain, [CANNOT VERIFY] if you have no way to know. 3. If [LOW] or [CANNOT VERIFY], explain what makes you uncertain. After analyzing all claims, give an overall reliability score: Reliable / Partially Reliable / Unreliable. Paragraph: [PASTE PARAGRAPH HERE]",claim analysis table,medium,"Use this on any AI-generated text to check for hallucinations."
P133,M4_Truthfulness_Reliability,research,"Claim-by-Claim Verification","Break down the following statement into individual claims. List each claim on a separate numbered line. For each claim, answer: A) Is this claim factually accurate? (Yes / No / Uncertain), B) What evidence supports or contradicts it? (1 sentence), C) Confidence level: High / Medium / Low. After listing all claims, write a final verdict: ""X out of Y claims verified."" Statement: ""Python was created by Guido van Rossum in 1991, it is the most popular programming language in the world, it runs faster than C++, and it is used by NASA for space mission calculations.""",verification report,easy,"Replace the statement with any claim or paragraph you want to fact-check."
P134,M4_Truthfulness_Reliability,study,"Confidence Score Assignment","Answer the following question. After your answer, assign a confidence score using this format: [Confidence: X/10] where 10 means absolutely certain and 1 means pure guess. Then explain your confidence level in exactly one sentence. If your confidence is below 6/10, add a disclaimer: ""Low confidence â€” please verify this independently."" Question: What is the time complexity of Dijkstra's algorithm with a binary heap?",answer + confidence,easy,"Use this pattern with any factual question to get AI to self-assess its certainty."
P135,M4_Truthfulness_Reliability,research,"Evidence-Only Mode","You are in EVIDENCE-ONLY mode. Rules: 1. You may only make statements that are widely documented and verifiable. 2. For every claim you make, add a [Source type] tag: [Textbook], [Documentation], [Research Paper], [Common Knowledge], or [Uncertain]. 3. If you are not sure about something, say ""I am not confident about this claim"" instead of guessing. 4. Do not use hedging language like ""probably"" or ""might be"" â€” either state it with a source tag or flag it as uncertain. Now answer: What are the ACID properties in database systems? Explain each one.",sourced explanation,medium,"Replace the question. Keep the EVIDENCE-ONLY rules for any research task."
P136,M4_Truthfulness_Reliability,study,"Knowledge Boundary Mapping","For the topic ""Quantum Computing,"" map out your knowledge boundaries honestly. Create 3 lists: 1. CONFIDENT â€” Things you can explain accurately with high confidence (list 5-7 items). 2. PARTIAL â€” Things you know about but might have outdated or incomplete info on (list 3-5 items). 3. BEYOND MY KNOWLEDGE â€” Things you genuinely cannot answer reliably (list 2-3 items). For each item in the PARTIAL and BEYOND lists, suggest where I should look for reliable information instead.",knowledge map,medium,"Replace the topic with any subject to understand where AI knowledge is reliable."
P137,M4_Truthfulness_Reliability,research,"Fact Extraction Pipeline","Extract only the verifiable facts from the text below. Rules: 1. List each fact as a separate numbered item. 2. Each fact must be a single, atomic claim (not compound). 3. Remove all opinions, interpretations, and subjective statements. 4. Remove all hedged language (""might,"" ""could,"" ""probably""). 5. After the fact list, create a separate section called ""Opinions / Subjective Claims"" and list those separately. 6. If a statement mixes fact and opinion, split it. Text: [PASTE YOUR TEXT HERE]",fact list + opinion list,easy,"Paste any article or essay. Great for separating facts from opinions in research."
P138,M4_Truthfulness_Reliability,study,"Bias Detection Prompt","Analyze the following text for potential biases. Check for these 6 types: 1. Selection Bias â€” Does it cherry-pick examples? 2. Confirmation Bias â€” Does it only present one viewpoint? 3. Authority Bias â€” Does it rely on appeals to authority instead of evidence? 4. Recency Bias â€” Does it overweight recent events? 5. Cultural Bias â€” Does it assume one cultural perspective? 6. Survivorship Bias â€” Does it only highlight successes? For each bias type, mark [DETECTED] or [NOT DETECTED] and quote the relevant sentence if detected. End with a 2-sentence overall assessment. Text: [PASTE TEXT HERE]",bias analysis,medium,"Use on any article, argument, or AI output to detect hidden biases."
P139,M4_Truthfulness_Reliability,research,"Cross-Reference Validator","I will give you two sources that discuss the same topic. Compare them and: 1. List claims that both sources agree on (label: [AGREED]). 2. List claims where they contradict each other (label: [CONFLICT]) and quote both versions. 3. List claims that appear in only one source (label: [UNIQUE TO SOURCE 1] or [UNIQUE TO SOURCE 2]). 4. For each [CONFLICT], state which source seems more reliable and why in one sentence. End with a trust verdict for each source: High / Medium / Low reliability. Source 1: [PASTE SOURCE 1] Source 2: [PASTE SOURCE 2]",cross-reference report,medium,"Paste any two articles or explanations on the same topic to find contradictions."
P140,M4_Truthfulness_Reliability,study,"Uncertainty Handler","Answer the following question using the Uncertainty Protocol: 1. First, answer the question to the best of your ability. 2. Then, list 2-3 assumptions you made while answering. 3. Then, list 1-2 things that could make your answer wrong. 4. Finally, rate: [Answer Stability: Stable / Fragile]. Stable means your answer is unlikely to change with new info. Fragile means it could easily change. Question: Is it better to use NoSQL or SQL databases for a social media app?",answer + uncertainty analysis,medium,"Use this protocol for any question where you suspect the answer might be nuanced or context-dependent."
P141,M5_Image_Prompting,image,"Product Photography Prompt","A sleek wireless earbud case sitting on a matte black surface. The case is white with a subtle metallic logo. Shot from a 45-degree angle. Soft studio lighting from the top left creating a gentle shadow on the right. Shallow depth of field with the background slightly blurred. Clean, minimal, Apple-style product photography. 4K resolution. No text or watermarks.",image,easy,"Replace the product. Adjust surface color, angle, and lighting direction."
P142,M5_Image_Prompting,image,"Character Design Sheet","Character design sheet of a young female software engineer, age 25, South Asian features, short wavy black hair, wearing a casual purple hoodie and jeans with headphones around her neck. Show 4 views: front, side, back, and three-quarter angle. Clean white background. Anime-inspired semi-realistic art style. Consistent proportions across all views. Bright, friendly expression. Color palette: purple hoodie, blue jeans, white sneakers.",image,medium,"Change character details: age, ethnicity, clothing, hairstyle, art style."
P143,M5_Image_Prompting,image,"Architectural Visualization","Modern co-working space interior. Open floor plan with floor-to-ceiling windows showing a city skyline at sunset. Minimalist furniture: light wood desks, ergonomic mesh chairs, green indoor plants. Warm ambient lighting from pendant lamps. A few people working on laptops in the background, slightly blurred. Shot from standing eye level at the entrance. Photorealistic 3D render style. Warm color temperature.",image,medium,"Change the space type, time of day, furniture style, and architectural elements."
P144,M5_Image_Prompting,image,"Food Photography Styling","Overhead flat lay of a traditional South Indian breakfast on a round banana leaf. Items: idli with sambar, dosa folded in a triangle, coconut chutney in a small brass bowl, filter coffee in a steel tumbler. Rustic dark wood table background. Natural morning light from a window on the left. Vibrant colors. Food photography style, high detail, appetizing presentation. No text.",image,easy,"Change the cuisine, plate style, arrangement, and background."
P145,M5_Image_Prompting,image,"Cinematic Landscape","A vast tea plantation in Munnar, Kerala, at golden hour. Rolling green hills covered with neatly trimmed tea bushes stretching to the horizon. Low hanging mist in the valleys between hills. A narrow dirt path winding through the plantation. Warm golden sunlight creating long shadows. Shot with a wide-angle lens, deep depth of field. Cinematic color grading with teal shadows and warm highlights. Ultra-realistic photography style.",image,medium,"Change location, time of day, weather conditions, and lens choice."
P146,M5_Image_Prompting,image,"Professional Portrait","Professional LinkedIn-style headshot of a young Indian man, age 23, clean-shaven, wearing a light blue formal shirt and navy blazer. Warm, genuine smile. Slightly turned to the left at a three-quarter angle. Softly blurred office background with bokeh light spots. Natural window light from the right. Shot on a portrait lens at f/2.8. Clean, professional, approachable look. High resolution.",image,easy,"Change gender, age, clothing, background, and lighting direction."
P147,M5_Image_Prompting,image,"Abstract Art Generation","Abstract geometric art inspired by Indian rangoli patterns. Overlapping circles, triangles, and lotus motifs. Color palette: deep saffron, emerald green, royal blue, and gold on a cream background. Clean vector art style with sharp edges. Symmetrical composition with a central mandala-like focal point. No text. Suitable for printing as a large wall poster. High resolution, square format.",image,medium,"Change the art inspiration, color palette, geometric shapes, and style."
P148,M5_Image_Prompting,image,"Infographic Visual Banner","A visual banner for a tech meetup event. Clean, flat design illustration showing 5 diverse developers sitting around a circular table with laptops, code symbols floating above them. Isometric perspective. Color palette: dark navy background with neon green, cyan, and white accents. Modern tech startup aesthetic. No text â€” illustration only. Suitable as a 1920x1080 banner. Clean vector style.",image,medium,"Change the event type, illustration style, color palette, and dimensions."
P149,M5_Image_Prompting,image,"UI Mockup Generation","Mobile app login screen mockup for a fitness tracking app. Dark mode design. Centered logo at the top (simple dumbbell icon). Below it: email input field, password input field with show/hide toggle, a large green Log In button, Forgot Password link, and Sign Up link at the bottom. Clean sans-serif font. Rounded corners on all elements. iPhone 15 frame. Minimal and modern UI design.",image,easy,"Change the app type, color scheme, screen layout, and device frame."
P150,M5_Image_Prompting,image,"Fashion Editorial","Street fashion editorial photo of a college student in urban India. Subject wearing an oversized vintage denim jacket over a graphic tee, baggy cargo pants, and chunky white sneakers. Standing confidently on a colorful painted staircase. Shot from below at a slight upward angle. Golden hour natural light with warm tones. Film grain texture, slightly desaturated vintage look. Editorial fashion photography style.",image,medium,"Change the fashion style, location, pose, lighting, and photography style."
P151,M5_Image_Prompting,image,"Book Cover Illustration","Book cover illustration for a tech thriller titled ""Zero Day."" Dark, moody atmosphere. A glowing green terminal cursor blinking on a black screen, reflected in a pair of glasses worn by a shadowy figure. Digital rain (matrix-style) falling softly in the background. Color palette: black, dark gray, neon green. Cinematic lighting from the screen illuminating the face partially. Dramatic and mysterious mood. No text â€” illustration only.",image,medium,"Change the genre, mood, central imagery, and color palette."
P152,M5_Image_Prompting,image,"Logo Concept Art","Minimalist logo concept for a student coding club called CodeCraft. The design combines a code bracket symbol { } with a pencil or craft tool. Flat vector style. Two color versions: one in electric blue on white background, one in white on dark background. Clean, modern, geometric. The design should work at small sizes (favicon) and large sizes (banner). Symbol only, no text in the logo.",image,medium,"Change the club name, combine different symbols, and adjust the color scheme."
P153,M5_Image_Prompting,image,"Event Poster Illustration","Illustration for a college hackathon poster. Isometric view of a futuristic workspace: holographic screens, floating code blocks, robotic arms assembling circuits, diverse students collaborating. Cyberpunk color palette: dark purple background with neon pink, electric blue, and bright yellow accents. Clean digital illustration style with bold outlines. Dynamic, energetic composition. No text â€” illustration only.",image,medium,"Change the event type, visual theme, color palette, and composition style."
P154,M5_Image_Prompting,image,"Social Media Visual","Instagram carousel cover slide visual. A clean gradient background transitioning from coral pink (top-left) to soft purple (bottom-right). In the center, a 3D illustration of a lightbulb with small icons floating around it: a book, laptop, coffee cup, and brain icon. Soft shadows and slight glass-morphism effect. Modern, clean, Gen-Z aesthetic. Square format 1080x1080. No text.",image,easy,"Change the gradient colors, central object, floating icons, and visual style."
P155,M5_Image_Prompting,image,"Icon Set Design","A set of 6 consistent flat design icons for a study app: 1. Open book, 2. Lightbulb (idea), 3. Clock (timer), 4. Checklist with checkmarks, 5. Brain with gear (thinking), 6. Trophy (achievement). All icons in the same style: rounded corners, 2-color design using indigo and white. Each icon inside a rounded square container. Clean, minimal, consistent line weight. Arranged in a 3x2 grid on a light gray background.",image,easy,"Change the app theme, icon subjects, colors, and grid arrangement."
P156,M6_Video_Scripts,video,"Tutorial Video Script","Write a script for a 90-second tutorial video teaching beginners how to use Git for the first time. Structure: Hook (5 seconds â€” a surprising fact or pain point), Intro (10 seconds â€” what they will learn), Step-by-step tutorial (60 seconds â€” 4 clear steps with voiceover text and screen action descriptions), Recap (10 seconds), CTA (5 seconds â€” subscribe and comment). For each section, write the exact voiceover text and describe the screen visuals in [brackets].",video script,medium,"Replace Git with any tool or skill. Adjust video length and number of steps."
P157,M6_Video_Scripts,content,"Product Review Script","Write a 60-second product review script for a budget mechanical keyboard (under Rs 3000). Structure: Hook (3 seconds â€” bold claim), Unboxing highlights (10 seconds), 3 Pros (15 seconds), 2 Cons (10 seconds), Typing test description (10 seconds), Final verdict and rating out of 10 (7 seconds), CTA (5 seconds). Write the voiceover text for each section. Add [B-ROLL] tags describing what footage to show during each section.",video script,easy,"Replace the product. Adjust the structure for different review styles."
P158,M6_Video_Scripts,video,"Day-in-Life Vlog Script","Write a shot-by-shot vlog script for ""A Day in the Life of a Final Year Engineering Student."" Time: 3-minute video. Structure the day chronologically: Morning routine (30 sec), College/Classes (45 sec), Lab/Project Work (30 sec), Break/Friends (20 sec), Evening Study (30 sec), Night Routine (15 sec), Closing Thoughts (10 sec). For each segment, write: [TIME], [SHOT TYPE], [VOICEOVER/DIALOGUE], [BACKGROUND MUSIC MOOD], [TRANSITION TO NEXT].",vlog script,medium,"Change the subject of the day-in-life. Adjust time allocations per segment."
P159,M6_Video_Scripts,content,"Educational Explainer Script","Write a 2-minute educational explainer video script on ""How the Internet Actually Works."" Use this structure: Hook with a mind-blowing question (5 sec), Simple analogy to explain the concept (20 sec), Technical breakdown in 4 steps (60 sec), Real-world example (20 sec), Common misconception debunked (10 sec), Summary (5 sec). For each section, provide: Voiceover text, [VISUAL] description for animation or graphics, [TEXT ON SCREEN] for key terms.",explainer script,medium,"Replace the topic. Keep the structure for any educational content."
P160,M6_Video_Scripts,video,"Testimonial Video Script","Write a 45-second testimonial video script for a student who completed an online prompt engineering course. Structure: Opening question from interviewer (off-screen), Student's response covering: what they were doing before, what problem they had, how the course helped, specific result or skill gained, who they would recommend it to. Write it as natural spoken dialogue, not formal. Add [SHOT] descriptions: close-up, medium, B-roll of student working on laptop.",testimonial script,easy,"Change the course or product. Adjust the testimonial structure and talking points."
P161,M6_Video_Scripts,content,"Before/After Transformation Video","Write a 60-second before/after transformation video script showing ""My Code Before vs After Learning Clean Code Principles."" Structure: BEFORE section (25 sec) â€” show messy code with commentary on what is wrong. TRANSITION (5 sec) â€” dramatic reveal moment. AFTER section (25 sec) â€” show clean code with commentary on what improved. CTA (5 sec). For each section, write the voiceover and describe [SCREEN RECORDING] content.",transformation script,easy,"Change the before/after subject: resume, portfolio, prompt, design, etc."
P162,M6_Video_Scripts,video,"Top-N Listicle Video Script","Write a script for a ""Top 5 AI Tools Every Student Should Use in 2025"" video. Duration: 2 minutes. Structure: Hook + intro (15 sec), Tool 1 through 5 (each gets 18 sec: name reveal, what it does in 1 sentence, quick demo description, one pro tip), Bonus mention (5 sec), CTA (10 sec). For each tool, write voiceover text and [SCREEN RECORDING] or [B-ROLL] descriptions. Use a countdown format: 5 to 1.",listicle script,easy,"Change the list topic. Adjust number of items and time per item."
P163,M6_Video_Scripts,content,"Reaction Video Framework","Write a framework script for a ""Developer Reacts to Beginner Code"" video. Duration: 3 minutes. Structure: Intro + setup (15 sec), Code Sample 1 â€” show code, react, explain fix (40 sec), Code Sample 2 â€” show code, react with humor, explain fix (40 sec), Code Sample 3 â€” show surprisingly good beginner code, praise it (30 sec), Tips for beginners (20 sec), CTA (15 sec). Write voiceover/dialogue. Mark [REACTION SHOT] and [CODE ON SCREEN] cues.",reaction script,medium,"Change the reaction topic. Adjust number of samples and reaction style."
P164,M6_Video_Scripts,video,"Interview Format Script","Write a script for a mock interview-style video: ""I Asked a Senior Developer 5 Questions About Getting Hired."" Duration: 3 minutes. Structure: Intro (15 sec â€” who, why, what), 5 Q&A segments (each 30 sec: question on screen, answer as spoken dialogue), Rapid fire round â€” 3 quick questions (15 sec), Outro with key takeaway (10 sec). Write both interviewer and interviewee dialogue. Add [SHOT TYPE] for each segment.",interview script,medium,"Change the interviewee persona and questions. Adjust number of Q&A segments."
